File.Name,Source.Short,Table,Group.Type,Taxon,Species,N,Full.Citation
Oshea1976-1.csv,O'shea1976,Tb1,Natural,Rodent,Xerus rutilus,10,"O'Shea, T. J. 1976 Home range, social behavior, and dominance relationships in the African unstriped ground squirrel, Xerus rutilus. J. Mammol. 57, 450–460."
Owens1996-1.csv,Owens1996,Fig1,Natural,Carnivore,Hyaena brunnea,7,"Owens, D. & Owens, M. 1996 Social dominance and reproductive patterns in brown hyaenas, Hyaena brunnea, of the central Kalahari desert. Anim. Behav. 51, 535–551."
Paoli2006-2.csv,Paoli2006,Tb2,Captive,Primate,Pan paniscus,8,"Paoli, T., Palagi, E. & Borgognini Tarli, S. M. 2006 Reevaluation of dominance hierarchy in bonobos (Pan paniscus). Am. J. Phys. Anthropol. 130, 116–122."
Parsons1980-2a.csv,Parsons1980,Tb2a,Captive,Bird,Zonotrichia leucophrys,8,"Parsons, J. & Baptista, L. F. 1980 Crown color and dominance in the white-crowned sparrow. Auk 4, 807–815."
Patterson1977-6.csv,Patterson1977,Fig6,Natural,Bird,Tadorna tadorna,28,"Patterson, I. J. 1977 Aggression and dominance in winter flocks of shelduck Tadorna tadorna (L.). Anim. Behav. 25, 447–459."
Payne2003-1.csv,Payne2003,Tb1,Natural,Primate,Cercopithecus mitis,9,"Payne, H. F. P., Lawes, M. J. & Henzi, S. P. 2003 Competition and the exchange of grooming among female samango monkeys (Cercopithecus mitis erythrarchus). Behaviour 140, 453–471."
Poisbleau2005-1a.csv,Poisbleau2005,Fig1b,Captive,Bird,Anas platyrhynchos,8,"Poisbleau, M., Fritz, H., Guillemain, M. & Lacroix, A. 2005 Testosterone and linear social dominance status in captive male dabbling ducks in winter. Ethology 111, 493–509."
Poisbleau2005-1b.csv,Poisbleau2005,Fig1c,Captive,Bird,Anas acuta,6,"Poisbleau, M., Fritz, H., Guillemain, M. & Lacroix, A. 2005 Testosterone and linear social dominance status in captive male dabbling ducks in winter. Ethology 111, 493–509."
Poisbleau2005-1c.csv,Poisbleau2005,Fig1a,Captive,Bird,Anas penelope,7,"Poisbleau, M., Fritz, H., Guillemain, M. & Lacroix, A. 2005 Testosterone and linear social dominance status in captive male dabbling ducks in winter. Ethology 111, 493–509."
Poisbleau2006-2a.csv,Poisbleau2006,Fig2a,Captive,Bird,Anas platyrhynchos,16,"Poisbleau, M., Jenouvrier, S. & Fritz, H. 2006 Assessing the reliability of dominance scores for assigning individual ranks in a hierarchy. Anim. Behav. 72, 835–842."
Poisbleau2006-2b.csv,Poisbleau2006,Fig2b,Natural,Bird,Branta bernicla,19,"Poisbleau, M., Jenouvrier, S. & Fritz, H. 2006 Assessing the reliability of dominance scores for assigning individual ranks in a hierarchy. Anim. Behav. 72, 835–842."
Post1992-1.csv,Post1992,Tb1,Natural,Bird,Quiscalus major,15,"Post, W. 1992 Dominance and mating success in male boat-tailed grackles. Anim. Behav. 44, 917–929."
Prieto1978-1.csv,Prieto1978,Tb1,Captive,Reptile,Sauromalus obesus,18,"Prieto, A. A. & Ryan, M. J. 1978 Some observations of the social behavior of the Arizona chuckwalla, Sauromalus obesus tumidus (Reptilia, Lacertilia, Iguanidae). J. Herpetol. 12, 327–336."
Reason1988-1.csv,Reason1988,Tb1,Captive,Ungulate,Addax nasomaculatus,18,"Reason, R. C. & Laird, E. W. 1988 Determinants of dominance in captive female addax (Addax nasomaculatus). J. Mammal. 69, 375–377."
Richter2009-1.csv,Richter2009,Tb1,Natural,Primate,Macaca arctoides,9,"Richter, C., Mevis, L., Malaivijitnond, S., Schülke, O. & Ostner, J. 2009 Social Relationships in Free-Ranging Male Macaca arctoides. Int. J. Primatol. 30, 625–642."
Robbins2008-2.csv,Robbins2008,Tb2,Natural,Primate,Gorilla beringei,8,"Robbins, M. M. 2008 Feeding competition and agonistic relationships among Bwindi Gorilla beringei. Int. J. Primatol. 29, 999–1018."
Roell1978-11.csv,Röell1978,Tb11,Natural,Bird,Corvus monedula,18,"Röell, A. 1978 Social behaviour of the jackdaw, Corvus monedula, in relation to its niche. Behaviour 64, 1–124."
Rovero1999-2a.csv,Rovero1999,Fig2A,Natural,Reptile,Emys orbicularis,8,"Rovero, F., Lebboroni, M. & Chelazzi, G. 1999 Aggressive interactions and mating in wild populations of the European pond turtle Emys orbicularis. J. Herpetol. 33, 258–263."
Rovero1999-2b.csv,Rovero1999,Fig2B,Natural,Reptile,Emys orbicularis,12,"Rovero, F., Lebboroni, M. & Chelazzi, G. 1999 Aggressive interactions and mating in wild populations of the European pond turtle Emys orbicularis. J. Herpetol. 33, 258–263."
Russell1970-2a.csv,Russell1970,Tb2a,Captive,Marsupial,Megaleia rufa,11,"Russell, E. M. 1970 Agonistic interactions in the red kangaroo (Megaleia rufa). J. Mammal. 51, 80–88."
